n,s,time_in_milliseconds
2048,128,94
2048,128,56
2048,128,63
2048,128,54
2048,128,78
2048,128,53
2048,128,45
2048,128,43
2048,128,64
2048,128,95
2048,128,73
2048,128,167
2048,128,59
2048,128,70
2048,128,47
2048,128,84
2048,128,45
2048,128,46
2048,128,52
2048,128,44
2048,128,55
2048,128,50
2048,128,42
2048,128,42
2048,128,42
2048,128,52
2048,128,46
2048,128,139
2048,128,44
2048,128,43
2048,128,43
2048,128,59
2048,128,44
2048,128,43
2048,128,42
2048,128,43
2048,128,42
2048,128,42
2048,128,80
2048,128,57
2048,128,56
2048,128,51
2048,128,61
2048,128,47
2048,128,48
2048,128,46
2048,128,45
2048,128,47
2048,128,47
2048,128,59
2048,128,55
2048,128,65
2048,128,49
2048,128,43
2048,128,52
2048,128,56
2048,128,62
2048,128,49
2048,128,44
2048,128,42
2048,128,44
2048,128,43
2048,128,43
2048,128,184
2048,128,47
2048,128,56
2048,128,71
2048,128,91
2048,128,190
2048,128,66
2048,128,514
2048,128,212
2048,128,65
4096,2,2044
4096,2,1130
4096,2,453
4096,2,988
4096,2,780
4096,2,511
4096,2,563
4096,2,1563
4096,2,472
4096,2,453
4096,2,1274
4096,2,484
4096,2,1062
4096,2,1080
4096,2,664
4096,2,379
4096,2,345
4096,2,518
4096,2,373
4096,2,610
4096,2,390
4096,2,435
4096,2,1030
4096,2,914
4096,2,473
4096,2,428
4096,2,472
4096,2,833
4096,2,396
4096,2,431
4096,2,508
4096,2,1103
4096,2,2176
4096,2,976
4096,2,668
4096,2,927
4096,2,1865
4096,2,1479
4096,2,786
4096,2,793
4096,2,546
4096,2,450
4096,2,472
4096,2,487
4096,2,510
4096,2,788
4096,2,560
4096,2,436
4096,2,625
4096,2,393
4096,2,371
4096,2,542
4096,2,376
4096,2,401
4096,2,911
4096,2,554
4096,2,622
4096,2,360
4096,2,812
4096,2,362
4096,2,381
4096,2,410
4096,2,721
4096,2,980
4096,2,823
4096,2,550
4096,2,365
4096,2,373
4096,2,454
4096,2,2480
4096,2,640
4096,2,1019
4096,2,464
4096,2,392
4096,2,726
4096,2,399
4096,2,384
4096,2,453
4096,2,868
4096,2,809
4096,2,553
4096,2,470
4096,2,2198
4096,2,1656
4096,2,856
4096,2,1651
4096,2,1910
4096,2,1436
4096,2,4378
4096,2,1424
4096,2,447
4096,2,776
4096,2,616
4096,2,465
4096,2,584
4096,2,733
4096,2,1682
4096,2,756
4096,2,512
4096,2,480
4096,4,983
4096,4,289
4096,4,216
4096,4,205
4096,4,276
4096,4,298
4096,4,198
4096,4,318
4096,4,218
4096,4,235
4096,4,178
4096,4,240
4096,4,170
4096,4,316
4096,4,293
4096,4,230
4096,4,217
4096,4,185
4096,4,335
4096,4,225
4096,4,199
4096,4,213
4096,4,191
4096,4,212
